Census-Mortality Tables Austrian Males,,,,,,,,,,,,,,
Source: Statistik Austria. Alexander Hanika,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
x,1868/71,1879/82,1889/92,1899/1902,1909/12,1930/33,1949/51,1959/61,1970/72,1980/82,1990/92,2000/02,2010/12,2020/22
44,0.016141,0.015174,0.01451,0.013624,0.012908,0.00922,0.00544,0.00434,0.00487,0.004547,0.0036547,0.0026829,0.00187167596628981,0.00161546282659291
45,0.016843,0.015725,0.014974,0.014255,0.013536,0.00951,0.00599,0.00474,0.0052,0.005024,0.0039948,0.0029503,0.00209382210711817,0.00175330569552253
46,0.017554,0.016394,0.015508,0.014944,0.014265,0.01019,0.00664,0.00525,0.00563,0.00555,0.0043519,0.0032555,0.00234510795159409,0.00190951618158414
47,0.018266,0.017201,0.016165,0.015704,0.01511,0.01071,0.00739,0.00586,0.00617,0.006127,0.0047251,0.0035965,0.00262473516029972,0.00208848061747348
48,0.018996,0.018148,0.016971,0.016554,0.01607,0.01137,0.00822,0.00654,0.00679,0.006752,0.0051126,0.0039826,0.00293508705974484,0.00229610757267523
49,0.019797,0.019207,0.017919,0.017502,0.017117,0.01222,0.00911,0.00732,0.00749,0.007423,0.005521,0.0044224,0.00328111963485587,0.00253838842605736
50,0.020724,0.020333,0.018979,0.018544,0.018219,0.01299,0.01006,0.00819,0.00824,0.008138,0.0059701,0.004917,0.00366442612022798,0.0028213145564872
51,0.021802,0.021489,0.020115,0.019659,0.019353,0.0142,0.01107,0.00917,0.00904,0.008903,0.0064826,0.0054561,0.00408583967473797,0.0031507085123552
52,0.023041,0.022663,0.021307,0.020833,0.020511,0.01525,0.01213,0.01025,0.00983,0.009717,0.0070816,0.0060208,0.00454920888077894,0.00352850974106049
53,0.024431,0.02386,0.022555,0.02206,0.021695,0.01642,0.01326,0.01143,0.01062,0.010581,0.0077817,0.0065971,0.00505824787622153,0.00395277458901309
54,0.025925,0.025106,0.023892,0.023341,0.022932,0.01745,0.01446,0.01271,0.01149,0.01149,0.0085851,0.0071772,0.00561699179073659,0.0044213905721444
55,0.027513,0.026454,0.025374,0.024712,0.024254,0.01893,0.01575,0.01411,0.01252,0.012441,0.0094913,0.0077607,0.00623178333092728,0.00493224520638632
56,0.029231,0.027938,0.027031,0.026219,0.025705,0.02006,0.01709,0.01565,0.0138,0.013487,0.0104969,0.0083568,0.00690984477637814,0.00548383317458657
