RP-2014 Rates: Total Dataset,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Total Dataset; Males,,,Total Dataset; Females,,,,Blue Collar; Males,,Blue Collar; Females,,,White Collar; Males,,White Collar; Females,,,,Juvenile Rates,
Age,Total Males Employee,Total Males Healthy Annuitant,Total Males Disabled Retiree,Total Females Employee,Total Females Healthy Annuitant,Total Females Disabled Retiree,,Blue Collar Male Employee,Blue Collar Male Healthy Annuitant,Blue Collar Female Employee,Blue Collar Female Healthy Annuitant,,White Collar Male Employee,White Collar Male Healthy Annuitant,White Collar Female Employee,White Collar Female Healthy Annuitant,,Age,Males,Females
63,0.006577,0.009492,0.029314,0.003113,0.006723,0.019028,,0.008511,0.010653,0.003491,0.007328,,0.004612,0.006442,0.002627,0.005394,,,,
64,0.007377,0.010209,0.030433,0.003389,0.007352,0.019884,,0.009546,0.01158,0.003801,0.007987,,0.005173,0.006969,0.002859,0.005952,,,,
65,0.008277,0.011013,0.031685,0.003696,0.008048,0.02086,,0.010711,0.012615,0.004145,0.008725,,0.005805,0.00758,0.003119,0.006549,,,,
66,0.009175,0.011916,0.033081,0.004113,0.008821,0.021976,,0.011786,0.013765,0.0046,0.00955,,0.006508,0.00829,0.003485,0.007197,,,,
67,0.010171,0.01293,0.034633,0.004577,0.009679,0.02325,,0.012969,0.015035,0.005105,0.010476,,0.007296,0.009114,0.003894,0.007907,,,,
68,0.011275,0.014067,0.036353,0.005094,0.010633,0.024702,,0.014271,0.016435,0.005665,0.011512,,0.008179,0.010066,0.004351,0.008694,,,,
69,0.012498,0.015342,0.038253,0.005669,0.011692,0.026348,,0.015704,0.01798,0.006286,0.012671,,0.009169,0.011159,0.004862,0.009572,,,,
70,0.013854,0.016769,0.040346,0.006309,0.012868,0.028203,,0.017281,0.019687,0.006976,0.013966,,0.010279,0.012402,0.005433,0.010554,,,,
71,0.015357,0.018363,0.042647,0.007021,0.014171,0.03028,,0.019016,0.021577,0.007741,0.015411,,0.011523,0.013803,0.006071,0.011653,,,,
72,0.017023,0.020141,0.04517,0.007813,0.015614,0.032591,,0.020925,0.023674,0.00859,0.01702,,0.012917,0.015375,0.006784,0.012886,,,,
73,0.01887,0.022127,0.047935,0.008695,0.01721,0.035148,,0.023026,0.026008,0.009532,0.018806,,0.01448,0.01713,0.007581,0.01427,,,,
74,0.020918,0.024345,0.050965,0.009676,0.018977,0.037962,,0.025338,0.028608,0.010578,0.020783,,0.016232,0.019088,0.008472,0.015825,,,,
75,0.023188,0.026826,0.054287,0.010768,0.020938,0.041045,,0.027882,0.031507,0.011738,0.022971,,0.018196,0.021279,0.009467,0.017577,,,,
76,0.025704,0.029608,0.057934,0.011983,0.023118,0.044413,,0.030682,0.03474,0.013026,0.025393,,0.020398,0.023738,0.010579,0.019555,,,,
77,0.028493,0.032735,0.061945,0.013336,0.025554,0.048078,,0.033763,0.038346,0.014455,0.028081,,0.022867,0.02651,0.011822,0.021789,,,,
78,0.031585,0.036258,0.066363,0.014841,0.028288,0.052059,,0.037153,0.042369,0.016041,0.031074,,0.025634,0.029651,0.013211,0.024315,,,,
79,0.035012,0.040232,0.071235,0.016516,0.031366,0.056372,,0.040883,0.046856,0.017801,0.034418,,0.028736,0.033225,0.014763,0.027176,,,,
80,0.038811,0.044722,0.076616,0.01838,0.034844,0.061036,,0.044988,0.051859,0.019754,0.038164,,0.032214,0.037307,0.016497,0.030419,,,,
81,,0.049795,0.082562,,0.038783,0.066074,,,0.057434,,0.042368,,,0.04198,,0.034101,,,,
82,,0.055526,0.089136,,0.043246,0.071506,,,0.063644,,0.047092,,,0.047333,,0.038286,,,,
83,,0.061996,0.096405,,0.048305,0.077357,,,0.070561,,0.052397,,,0.053459,,0.043044,,,,
