DAV 2008T R/NR Männer,,,,,,,,,,DAV 2008T R/NR Frauen,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Alter,Raucheranteil,Raucher- übersterblichkeit,Nichtraucher- faktor,Sterblichkeit 2. Ordnung,,,Sterblichkeit 1. Ordnung,,,Alter,Raucheranteil,Raucher- übersterblichkeit,Nichtraucher- faktor,Sterblichkeit 2. Ordnung,,,Sterblichkeit 1. Ordnung,,
,,,,Aggregat, Nichtraucher,Raucher,Aggregat (Zuschlag 34%),Nichtraucher (Zuschlag 45%),Raucher (Zuschlag 45%),,,,,Aggregat, Nichtraucher,Raucher,Aggregat (Zuschlag 34%),Nichtraucher (Zuschlag 45%),Raucher (Zuschlag 45%)
0,0%,100%,1,0.004562,0.004562,0.004562,0.006113,0.006113,0.006615,0,0%,100%,1,0.003797,0.003797,0.003797,0.005088,0.005088,0.005506
1,0%,100%,1,0.000316,0.000316,0.000316,0.000423,0.000423,0.000458,1,0%,100%,1,0.000289,0.000289,0.000289,0.000387,0.000387,0.000419
2,0%,100%,1,0.000256,0.000256,0.000256,0.000343,0.000343,0.000371,2,0%,100%,1,0.000237,0.000237,0.000237,0.000318,0.000318,0.000344
3,0%,100%,1,0.000205,0.000205,0.000205,0.000275,0.000275,0.000297,3,0%,100%,1,0.00019,0.00019,0.00019,0.000255,0.000255,0.000276
4,0%,100%,1,0.000164,0.000164,0.000164,0.00022,0.00022,0.000238,4,0%,100%,1,0.000151,0.000151,0.000151,0.000202,0.000202,0.000219
5,0%,100%,1,0.000136,0.000136,0.000136,0.000182,0.000182,0.000197,5,0%,100%,1,0.000122,0.000122,0.000122,0.000163,0.000163,0.000177
6,0%,100%,1,0.000116,0.000116,0.000116,0.000155,0.000155,0.000168,6,0%,100%,1,0.0001,0.0001,0.0001,0.000134,0.000134,0.000145
7,0%,100%,1,0.000104,0.000104,0.000104,0.000139,0.000139,0.000151,7,0%,100%,1,0.000086,0.000086,0.000086,0.000115,0.000115,0.000125
8,0%,101.7%,1,0.000096,0.000096,0.000098,0.000129,0.000129,0.000142,8,0%,100.3%,1,0.000078,0.000078,0.000078,0.000105,0.000105,0.000113
9,0%,103.4%,1,0.000093,0.000093,0.000096,0.000125,0.000125,0.000139,9,0%,101.5%,1,0.000074,0.000074,0.000075,0.000099,0.000099,0.000109
10,0%,105.1%,1,0.000096,0.000096,0.000101,0.000129,0.000129,0.000146,10,0%,103.3%,1,0.000076,0.000076,0.000079,0.000102,0.000102,0.000115
11,0%,106.6%,1,0.000107,0.000107,0.000114,0.000143,0.000143,0.000165,11,0%,105.8%,1,0.000083,0.000083,0.000088,0.000111,0.000111,0.000128
12,0%,108.1%,1,0.000129,0.000129,0.000139,0.000173,0.000173,0.000202,12,0%,108.8%,1,0.000095,0.000095,0.000103,0.000127,0.000127,0.000149
13,0%,109.5%,1,0.000166,0.000166,0.000182,0.000222,0.000222,0.000264,13,0%,112.3%,1,0.000114,0.000114,0.000128,0.000153,0.000153,0.000186
14,0%,110.7%,1,0.000226,0.000226,0.00025,0.000303,0.000303,0.000363,14,0%,116.2%,1,0.00014,0.00014,0.000163,0.000188,0.000188,0.000236
