tariff,sex,premium,probability,age,smooth,raw,Exposure
(all),(all),EE,qx,41,6.698822601734569e-4,6.68808435459404e-4,65766.64390335692
(all),(all),EE,qx,42,7.342401715235514e-4,5.823584931030843e-4,72099.52455216018
(all),(all),EE,qx,43,8.13944083125443e-4,7.489851765819619e-4,78743.7545912991
(all),(all),EE,qx,44,9.085914703070381e-4,0.0010558110157437403,86144.16713081439
(all),(all),EE,qx,45,0.0010139843337981433,0.0010891820630551522,92679.63523257565
(all),(all),EE,qx,46,0.0011294909773834293,0.0012734047427858308,98884.33054342917
(all),(all),EE,qx,47,0.0012573867843872033,9.115448296575809e-4,104171.1811982538
(all),(all),EE,qx,48,0.0014078699824784816,0.0013876650055057401,108020.2531085353
(all),(all),EE,qx,49,0.0015726920460778088,0.0017834199505464695,112044.08582718651
(all),(all),EE,qx,50,0.0017373967287976052,0.0019313073712434112,114319.75760198706
(all),(all),EE,qx,51,0.0018930462768193955,0.0021686699319487523,116995.47966280296
(all),(all),EE,qx,52,0.0020395527299335615,0.0018286481828738194,118558.39395604396
(all),(all),EE,qx,53,0.0021933676041755745,0.0021238781071286706,118995.21378895077
(all),(all),EE,qx,54,0.0023634776407091824,0.00219111849253304,116707.30620201716
(all),(all),EE,qx,55,0.0025573870358523852,0.0026591105137245452,114923.07465753425
(all),(all),EE,qx,56,0.002774136657393999,0.0029804524497798516,112566.56150082794
(all),(all),EE,qx,57,0.0030176517187536557,0.002742401305132983,109607.32407797682
(all),(all),EE,qx,58,0.0033041540040500824,0.003504562758488743,105961.33581213307
(all),(all),EE,qx,59,0.0036389196774925577,0.0031734995092156247,102562.71306638567
(all),(all),EE,qx,60,0.004038765762765982,0.004079546945522473,98094.7286993828
(all),(all),EE,qx,61,0.0044987901680697455,0.004462047308926939,93246.3585277736
(all),(all),EE,qx,62,0.005010783587200913,0.005571623094167945,90206.38016709319
(all),(all),EE,qx,63,0.0055581048600320156,0.005834100812305617,87845.6942345326
(all),(all),EE,qx,64,0.006140514847222443,0.005960824789615569,87310.77377690803
(all),(all),EE,qx,65,0.006769945033163774,0.006340917229004212,87092.0634954087
(all),(all),EE,qx,66,0.007454630724324637,0.007833789397183663,84174.71829745597
(all),(all),EE,qx,67,0.008184934470733091,0.008276583423569678,80616.27732199308
(all),(all),EE,qx,68,0.008962395505460238,0.008633478195738776,81537.0178157459
