Census-Mortality Tables Austrian Females,,,,,,,,,,,,,,
Source: Statistik Austria. Alexander Hanika,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
x,1868/71,1879/82,1889/92,1899/1902,1909/12,1930/33,1949/51,1959/61,1970/72,1980/82,1990/92,2000/02,2010/12,2020/22
0,0.250079,0.228973,0.227292,0.193085,0.171577,0.09245,0.05838,0.03275,0.02221,0.011066,0.0067104,0.0037607,0.00315084679007483,0.00275760789752794
1,0.065939,0.068601,0.06288,0.048788,0.03834,0.01307,0.00494,0.0024,0.00152,0.000834,0.0005155,0.0003266,0.000192018169121108,0.000173818982979879
2,0.032547,0.035385,0.028086,0.021157,0.015533,0.00598,0.0029,0.00134,0.00094,0.000488,0.0004117,0.0002108,0.000153216363390695,0.000113591205762109
3,0.020914,0.025331,0.018255,0.013599,0.009669,0.0042,0.00217,0.00092,0.00063,0.000413,0.0003175,0.0001318,0.000119276498535962,0.0000854032978299537
4,0.018679,0.021452,0.014977,0.009565,0.007471,0.00381,0.00161,0.00075,0.00049,0.000349,0.0002377,0.0000997,0.0000941594039056861,0.000078229219399297
5,0.010797,0.014053,0.009872,0.007163,0.005955,0.00343,0.00119,0.00062,0.00041,0.000302,0.0001803,0.0000858,0.0000799712218996731,0.0000810429306852882
6,0.009808,0.012476,0.008759,0.006602,0.004822,0.00299,0.0009,0.00051,0.0004,0.000273,0.0001413,0.0000851,0.0000724099375899447,0.0000737002793204118
7,0.007791,0.009985,0.006881,0.005388,0.004229,0.00265,0.00071,0.00042,0.00036,0.000239,0.0001183,0.00009,0.000068729035037648,0.0000633977774118485
8,0.007104,0.008813,0.006224,0.004369,0.003515,0.00231,0.00061,0.00036,0.00029,0.000198,0.0001066,0.0000926,0.0000687922571228714,0.00005741187146357
9,0.00584,0.00584,0.00584,0.00584,0.00584,0.00584,0.00584,0.00584,0.00584,0.000178,0.0001012,0.0000934,0.0000703647570474122,0.0000501033737650335
10,0.004904,0.006154,0.004488,0.00373,0.002913,0.00175,0.00056,0.0003,0.00026,0.000175,0.0000992,0.0000962,0.0000728690707671526,0.0000426919941868709
11,0.004478,0.005547,0.00452,0.003405,0.002911,0.0016,0.00056,0.00029,0.00026,0.000179,0.0001005,0.0001015,0.0000784469743615419,0.0000462982731287259
12,0.004294,0.005264,0.00455,0.003384,0.00299,0.00151,0.0006,0.0003,0.00032,0.000194,0.000107,0.0001097,0.000088109729718312,0.0000640412462335456
13,0.004327,0.005217,0.004756,0.0035,0.003172,0.0015,0.00066,0.00035,0.00035,0.000225,0.0001205,0.0001293,0.000102893130564081,0.0000917817963365814
14,0.004593,0.005381,0.005098,0.003743,0.003428,0.00165,0.00074,0.0004,0.00038,0.000287,0.0001495,0.0001669,0.000123370583919784,0.000124038885576516
15,0.005022,0.00567,0.005489,0.004067,0.003735,0.00194,0.00083,0.00046,0.00048,0.000387,0.000207,0.0002082,0.000147785364895035,0.000155331476082395
16,0.005521,0.006028,0.005874,0.004438,0.004075,0.00221,0.00093,0.00051,0.00058,0.000478,0.0002816,0.0002483,0.00017278537971716,0.000180182959579788
17,0.006025,0.006404,0.006215,0.004823,0.00444,0.00248,0.00104,0.00055,0.00061,0.000511,0.0003294,0.0002988,0.00019323207203506,0.000195095115635104
18,0.006507,0.006762,0.006504,0.005192,0.004812,0.00276,0.00114,0.00059,0.00061,0.000518,0.0003751,0.0003345,0.000209189893718415,0.000201655717789562
19,0.00695,0.007095,0.006765,0.005529,0.005176,0.00312,0.00124,0.00062,0.00061,0.000513,0.0004028,0.000338,0.000225729587416606,0.000202258561602552
20,0.007367,0.007398,0.007027,0.005837,0.005512,0.00326,0.00133,0.00065,0.00059,0.000498,0.0004047,0.0003234,0.000241013742318063,0.000199297442630103
