Periodensterbetafeln für Deutschland (Deutsches Reich)
Quelle: Statistisches Bundesamt, Wiesbaden 2012

Alter,ADSt 1871/81 M,ADSt 1871/81 F,ADSt 1881/90 M,ADSt 1881/90 F,ADSt 1891/1900 M,ADSt 1891/1900 F,ADSt 1901/10 M,ADSt 1901/10 F,ADSt 1910/11 M,ADSt 1910/11 F,ADSt 1924/26 M,ADSt 1924/26 F,ADSt 1932/34 M,ADSt 1932/34 F
17,0.00531,0.00487,0.00479,0.00457,0.00433,0.00396,0.00382,0.00361,0.00368,0.00329,0.00281,0.00249,0.00219,0.00176
18,0.00610,0.00527,0.00543,0.00478,0.00496,0.00416,0.00436,0.00381,0.00410,0.00350,0.00336,0.00282,0.00245,0.00197
19,0.00685,0.00570,0.00604,0.00502,0.00544,0.00436,0.00481,0.00401,0.00449,0.00373,0.00388,0.00310,0.00266,0.00212
20,0.00750,0.00614,0.00654,0.00529,0.00576,0.00459,0.00504,0.00422,0.00466,0.00387,0.00427,0.00332,0.00283,0.00227
21,0.00805,0.00658,0.00686,0.00563,0.00591,0.00485,0.00507,0.00444,0.00469,0.00406,0.00451,0.00347,0.00294,0.00240
22,0.00853,0.00701,0.00701,0.00602,0.00591,0.00513,0.00504,0.00470,0.00469,0.00423,0.00457,0.00360,0.00296,0.00250
23,0.00852,0.00743,0.00701,0.00641,0.00585,0.00542,0.00503,0.00498,0.00460,0.00439,0.00450,0.00374,0.00293,0.00256
24,0.00847,0.00783,0.00705,0.00678,0.00583,0.00570,0.00507,0.00521,0.00463,0.00470,0.00443,0.00386,0.00293,0.00261
25,0.00848,0.00820,0.00718,0.00710,0.00590,0.00594,0.00513,0.00537,0.00472,0.00499,0.00439,0.00394,0.00297,0.00270
26,0.00855,0.00854,0.00730,0.00741,0.00598,0.00615,0.00518,0.00550,0.00478,0.00516,0.00433,0.00397,0.00304,0.00280
27,0.00868,0.00885,0.00747,0.00774,0.00604,0.00635,0.00522,0.00564,0.00477,0.00520,0.00423,0.00401,0.00309,0.00287
28,0.00885,0.00913,0.00771,0.00805,0.00613,0.00654,0.00530,0.00578,0.00474,0.00519,0.00411,0.00406,0.00313,0.00291
29,0.00905,0.00939,0.00798,0.00829,0.00631,0.00674,0.00542,0.00587,0.00485,0.00541,0.00404,0.00410,0.00317,0.00296
30,0.00928,0.00965,0.00829,0.00853,0.00654,0.00696,0.00556,0.00597,0.00505,0.00564,0.00405,0.00414,0.00324,0.00301
31,0.00954,0.00992,0.00867,0.00884,0.00680,0.00717,0.00571,0.00611,0.00521,0.00566,0.00407,0.00420,0.00335,0.00310
32,0.00984,0.01020,0.00914,0.00915,0.00710,0.00737,0.00591,0.00628,0.00535,0.00574,0.00408,0.00427,0.00349,0.00321
33,0.01019,0.01050,0.00959,0.00939,0.00747,0.00757,0.00621,0.00645,0.00554,0.00583,0.00409,0.00434,0.00368,0.00330
34,0.01058,0.01080,0.01000,0.00960,0.00789,0.00778,0.00660,0.00665,0.00583,0.00611,0.00414,0.00441,0.00385,0.00338
35,0.01101,0.01110,0.01050,0.00986,0.00835,0.00802,0.00697,0.00686,0.00614,0.00657,0.00425,0.00452,0.00394,0.00348
36,0.01148,0.01140,0.01100,0.01013,0.00884,0.00825,0.00734,0.00701,0.00634,0.00672,0.00444,0.00467,0.00403,0.00363
37,0.01199,0.01168,0.01138,0.01029,0.00933,0.00848,0.00778,0.00715,0.00679,0.00670,0.00465,0.00482,0.00420,0.00383
38,0.01253,0.01192,0.01180,0.01045,0.00982,0.00868,0.00827,0.00735,0.00731,0.00676,0.00483,0.00496,0.00443,0.00399
39,0.01308,0.01210,0.01236,0.01068,0.01035,0.00886,0.00873,0.00755,0.00771,0.00696,0.00506,0.00513,0.00463,0.00410
40,0.01363,0.01222,0.01294,0.01086,0.01093,0.00902,0.00922,0.00771,0.00823,0.00708,0.00535,0.00531,0.00482,0.00422
41,0.01418,0.01228,0.01347,0.01098,0.01154,0.00916,0.00980,0.00788,0.00866,0.00710,0.00569,0.00548,0.00508,0.00441
42,0.01475,0.01230,0.01394,0.01103,0.01218,0.00930,0.01041,0.00801,0.00914,0.00731,0.00605,0.00564,0.00541,0.00459
43,0.01537,0.01230,0.01446,0.01103,0.01288,0.00944,0.01099,0.00809,0.00967,0.00747,0.00640,0.00583,0.00578,0.00478
44,0.01605,0.01240,0.01517,0.01109,0.01359,0.00960,0.01166,0.00824,0.01027,0.00758,0.00677,0.00609,0.00615,0.00507
45,0.01680,0.01260,0.01591,0.01128,0.01424,0.00981,0.01244,0.00854,0.01101,0.00794,0.00723,0.00644,0.00658,0.00546
46,0.01761,0.01300,0.01652,0.01158,0.01483,0.01009,0.01319,0.00890,0.01170,0.00847,0.00775,0.00686,0.00707,0.00587
47,0.01848,0.01360,0.01708,0.01196,0.01552,0.01056,0.01397,0.00933,0.01252,0.00914,0.00825,0.00729,0.00755,0.00634
48,0.01941,0.01430,0.01794,0.01256,0.01643,0.01122,0.01489,0.00990,0.01345,0.00971,0.00881,0.00771,0.00807,0.00686
49,0.02040,0.01510,0.01910,0.01344,0.01750,0.01202,0.01588,0.01054,0.01439,0.01022,0.00952,0.00822,0.00868,0.00739
50,0.02145,0.01600,0.02023,0.01438,0.01858,0.01284,0.01693,0.01126,0.01540,0.01081,0.01030,0.00886,0.00939,0.00791
51,0.02256,0.01695,0.02126,0.01530,0.01958,0.01365,0.01809,0.01218,0.01646,0.01151,0.01106,0.00951,0.01020,0.00846
52,0.02374,0.01795,0.02230,0.01623,0.02059,0.01452,0.01930,0.01317,0.01767,0.01260,0.01190,0.01016,0.01109,0.00905
53,0.02501,0.01905,0.02359,0.01736,0.02173,0.01556,0.02054,0.01408,0.01882,0.01359,0.01295,0.01089,0.01210,0.00977
54,0.02639,0.02025,0.02503,0.01868,0.02309,0.01678,0.02195,0.01500,0.01995,0.01442,0.01419,0.01175,0.01316,0.01063
55,0.02790,0.02165,0.02668,0.02024,0.02460,0.01814,0.02357,0.01619,0.02165,0.01532,0.01548,0.01273,0.01418,0.01153
56,0.02956,0.02330,0.02839,0.02185,0.02613,0.01959,0.02512,0.01764,0.02345,0.01666,0.01682,0.01382,0.01519,0.01246
57,0.03139,0.02525,0.02978,0.02323,0.02771,0.02117,0.02662,0.01921,0.02518,0.01861,0.01829,0.01501,0.01649,0.01352
58,0.03342,0.02750,0.03162,0.02525,0.02950,0.02302,0.02837,0.02088,0.02741,0.02045,0.01990,0.01633,0.01813,0.01474
59,0.03568,0.03005,0.03427,0.02792,0.03160,0.02516,0.03039,0.02268,0.02931,0.02225,0.02168,0.01782,0.01990,0.01605
60,0.03820,0.03285,0.03693,0.03054,0.03394,0.02750,0.03260,0.02473,0.03120,0.02411,0.02362,0.01947,0.02172,0.01746
61,0.04100,0.03585,0.03931,0.03319,0.03649,0.03005,0.03511,0.02724,0.03424,0.02643,0.02575,0.02134,0.02363,0.01917
62,0.04409,0.03905,0.04186,0.03600,0.03933,0.03295,0.03787,0.03011,0.03694,0.02931,0.02812,0.02362,0.02567,0.02118
63,0.04748,0.04247,0.04506,0.03931,0.04249,0.03625,0.04083,0.03311,0.03954,0.03245,0.03078,0.02617,0.02809,0.02335
64,0.05118,0.04613,0.04881,0.04323,0.04591,0.03985,0.04391,0.03625,0.04323,0.03558,0.03369,0.02873,0.03096,0.02575
65,0.05520,0.05005,0.05272,0.04720,0.04954,0.04360,0.04706,0.03960,0.04633,0.03854,0.03692,0.03155,0.03404,0.02853
66,0.05956,0.05425,0.05656,0.05090,0.05342,0.04752,0.05073,0.04324,0.04918,0.04275,0.04065,0.03493,0.03732,0.03169
67,0.06429,0.05875,0.06038,0.05452,0.05765,0.05179,0.05513,0.04740,0.05325,0.04696,0.04472,0.03873,0.04093,0.03523
68,0.06942,0.06360,0.06488,0.05898,0.06236,0.05657,0.05967,0.05200,0.05856,0.05176,0.04881,0.04278,0.04489,0.03898
69,0.07500,0.06885,0.07039,0.06498,0.06761,0.06193,0.06420,0.05678,0.06387,0.05728,0.05310,0.04721,0.04923,0.04290
70,0.08108,0.07470,0.07655,0.07171,0.07335,0.06781,0.06936,0.06206,0.06875,0.06193,0.05808,0.05198,0.05401,0.04761
71,0.08770,0.08135,0.08318,0.07839,0.07952,0.07415,0.07560,0.06839,0.07570,0.06905,0.06395,0.05694,0.05942,0.05331
72,0.09489,0.08900,0.09033,0.08552,0.08616,0.08092,0.08263,0.07531,0.08370,0.07700,0.07036,0.06247,0.06529,0.05909
73,0.10267,0.09745,0.09838,0.09310,0.09339,0.08824,0.08991,0.08213,0.09058,0.08326,0.07720,0.06918,0.07147,0.06506
74,0.11105,0.10650,0.10741,0.10170,0.10135,0.09628,0.09771,0.08969,0.09894,0.08972,0.08513,0.07705,0.07874,0.07232
75,0.12004,0.11600,0.11710,0.11204,0.11008,0.10482,0.10640,0.09831,0.10928,0.09834,0.09391,0.08529,0.08740,0.08033
76,0.12965,0.12585,0.12611,0.12045,0.11944,0.11346,0.11535,0.10697,0.11803,0.11003,0.10224,0.09344,0.09635,0.08806
77,0.13989,0.13600,0.13548,0.12754,0.12943,0.12248,0.12463,0.11627,0.12551,0.11883,0.11023,0.10217,0.10528,0.09596
78,0.15077,0.14640,0.14706,0.13781,0.14019,0.13264,0.13509,0.12660,0.13842,0.12827,0.11957,0.11240,0.11493,0.10486
79,0.16230,0.15710,0.15872,0.14978,0.15167,0.14395,0.14619,0.13645,0.15112,0.14099,0.13058,0.12345,0.12538,0.11518
80,0.17448,0.16830,0.17077,0.16190,0.16376,0.15565,0.15787,0.14650,0.16057,0.15141,0.14196,0.13371,0.13668,0.12651
81,0.18731,0.18025,0.18461,0.17438,0.17704,0.16763,0.17082,0.15897,0.17708,0.16625,0.15385,0.14358,0.14968,0.13816
82,0.20074,0.19310,0.19920,0.18742,0.19211,0.18093,0.18477,0.17318,0.19571,0.18349,0.16739,0.15525,0.16478,0.15062
83,0.21467,0.20685,0.21451,0.20098,0.20872,0.19592,0.19962,0.18743,0.21178,0.19589,0.18233,0.16929,0.18064,0.16410
84,0.22900,0.22135,0.23055,0.21498,0.22557,0.21119,0.21541,0.20201,0.22481,0.20497,0.19769,0.18413,0.19512,0.17815
85,0.24363,0.23635,0.24725,0.22941,0.24180,0.22537,0.23160,0.21739,0.23589,0.21862,0.21285,0.19837,0.20769,0.19366
86,0.25846,0.25160,0.26463,0.24425,0.25802,0.23887,0.24805,0.23355,0.25292,0.23748,0.22799,0.21187,0.22223,0.21109
87,0.27344,0.26700,0.28264,0.25942,0.27550,0.25307,0.26512,0.24989,0.27017,0.25083,0.24309,0.22465,0.23957,0.22714
88,0.28852,0.28250,0.30123,0.27487,0.29471,0.26875,0.28307,0.26524,0.28508,0.26458,0.25547,0.23724,0.25528,0.24002
89,0.30370,0.29810,0.32030,0.29048,0.31491,0.28550,0.30151,0.28015,0.30820,0.28425,0.26712,0.24689,0.27157,0.25635
90,0.31902,0.31384,0.33983,0.30623,0.33518,0.30227,0.32002,0.29566,0.32721,0.30238,0.28469,0.26308,0.28773,0.27364
91,0.33457,0.32981,0.35971,0.32200,0.35533,0.31853,0.33874,0.31124,0.34611,0.32007,0.29957,0.27664,0.30411,0.29151
92,0.35047,0.34612,0.37984,0.33770,0.37567,0.33449,0.35767,0.32638,0.36513,0.33803,0.31454,0.29029,0.32069,0.30996
93,0.36689,0.36296,0.40010,0.35322,0.39633,0.35035,0.37661,0.34107,0.38414,0.35615,0.32958,0.30402,0.33747,0.32896
94,0.38404,0.38052,0.42038,0.36845,0.41708,0.36598,0.39543,0.35518,0.40301,0.37434,0.34469,0.31783,0.35443,0.34852
95,0.40217,0.39905,0.44051,0.38327,0.43767,0.38119,0.41399,0.36857,0.42159,0.39245,0.35986,0.33171,0.37155,0.36860
96,0.42158,0.41885,0.46035,0.39757,0.45796,0.39585,0.43213,0.38113,0.43972,0.41037,0.37507,0.34566,0.38882,0.38919
97,0.44259,0.44025,0.47972,0.41118,0.47777,0.40981,0.44967,0.39274,0.45722,0.42791,0.39033,0.35965,0.40623,0.41026
98,0.46560,0.46362,0.49840,0.42398,0.49687,0.42294,0.46641,0.40328,0.47391,0.44492,0.40562,0.37370,0.42376,0.43178
99,0.49102,0.48939,0.51619,0.43583,0.51505,0.43507,0.48216,0.41266,0.48957,0.46118,0.42092,0.38779,0.44138,0.45371
100,0.51930,0.51800,0.53282,0.44656,0.53202,0.44605,0.49668,0.42077,0.50398,0.47647,0.43623,0.40192,0.45909,0.47601
