Periodensterbetafeln für Deutschland (Deutsches Reich)
Quelle: Statistisches Bundesamt, Wiesbaden 2012

Alter,ADSt 1871/81 M,ADSt 1871/81 F,ADSt 1881/90 M,ADSt 1881/90 F,ADSt 1891/1900 M,ADSt 1891/1900 F,ADSt 1901/10 M,ADSt 1901/10 F,ADSt 1910/11 M,ADSt 1910/11 F,ADSt 1924/26 M,ADSt 1924/26 F,ADSt 1932/34 M,ADSt 1932/34 F
0,0.25273,0.21740,0.24169,0.20689,0.23386,0.19862,0.20234,0.17048,0.18145,0.15305,0.11538,0.09392,0.08535,0.06839
1,0.06492,0.06364,0.06373,0.06187,0.05199,0.04993,0.03988,0.03847,0.03230,0.03099,0.01619,0.01493,0.00926,0.00823
2,0.03319,0.03258,0.03196,0.03134,0.02247,0.02173,0.01492,0.01463,0.01206,0.01151,0.00636,0.00574,0.00450,0.00398
3,0.02309,0.02253,0.02207,0.02164,0.01484,0.01445,0.00947,0.00925,0.00758,0.00742,0.00404,0.00362,0.00344,0.00288
4,0.01705,0.01687,0.01614,0.01612,0.01074,0.01067,0.00691,0.00684,0.00578,0.00555,0.00316,0.00286,0.00274,0.00247
5,0.01300,0.01287,0.01206,0.01211,0.00800,0.00806,0.00528,0.00531,0.00440,0.00433,0.00242,0.00219,0.00232,0.00215
6,0.01030,0.01007,0.00948,0.00957,0.00623,0.00639,0.00425,0.00438,0.00360,0.00357,0.00199,0.00180,0.00213,0.00195
7,0.00820,0.00807,0.00757,0.00771,0.00498,0.00518,0.00356,0.00373,0.00307,0.00301,0.00171,0.00153,0.00196,0.00171
8,0.00665,0.00660,0.00599,0.00617,0.00404,0.00426,0.00303,0.00319,0.00262,0.00259,0.00156,0.00137,0.00173,0.00147
9,0.00548,0.00552,0.00486,0.00510,0.00340,0.00362,0.00267,0.00280,0.00233,0.00234,0.00149,0.00126,0.00151,0.00128
10,0.00466,0.00476,0.00411,0.00438,0.00301,0.00320,0.00244,0.00256,0.00218,0.00220,0.00142,0.00120,0.00133,0.00114
11,0.00409,0.00427,0.00362,0.00392,0.00274,0.00298,0.00224,0.00242,0.00206,0.00212,0.00133,0.00119,0.00122,0.00104
12,0.00368,0.00401,0.00327,0.00375,0.00257,0.00295,0.00211,0.00241,0.00191,0.00211,0.00131,0.00126,0.00116,0.00099
13,0.00347,0.00394,0.00309,0.00375,0.00254,0.00306,0.00215,0.00254,0.00202,0.00230,0.00141,0.00139,0.00118,0.00103
14,0.00352,0.00402,0.00312,0.00380,0.00269,0.00325,0.00238,0.00275,0.00232,0.00257,0.00163,0.00157,0.00131,0.00114
15,0.00387,0.00422,0.00345,0.00400,0.00306,0.00349,0.00277,0.00302,0.00270,0.00282,0.00194,0.00181,0.00157,0.00130
16,0.00451,0.00451,0.00409,0.00431,0.00365,0.00374,0.00327,0.00334,0.00321,0.00309,0.00232,0.00213,0.00189,0.00152
