"Austria: MCMC-Zerlegung der Bevölkerungssterblichkeit, Daten: Statistik Austria seit 1947, Berechnungen: Dr. Jonas Hirz, Dokumentation: vgl. Dokumentation der Pensionstafel AVÖ 2018-P"
,,,,,,,,,,,,,
,MCMC-Parameter,,Parameter alpha,Parameter beta,"Parameter beta, Lee-Carter",Parameter zeta,Parameter eta,Parameter beta; Vergleich MCMC vs. Lee-Carter,,,,,
,Geschlecht,Mann,Mann,Mann,Mann,Frau,Frau,Frau,Frau,Unisex,Unisex,Unisex,Unisex
,Trend seit ,1970,1980,1990,2000,1970,1980,1990,2000,1970,1980,1990,2000
Parameter,Alter,"Mann, 1970","Mann, 1980","Mann, 1990","Mann, 2000","Frau, 1970","Frau, 1980","Frau, 1990","Frau, 2000","Unisex, 1970","Unisex, 1980","Unisex, 1990","Unisex, 2000"
alpha,30,-6.491091921,-6.529932308,-6.546439021,-6.535142132,-7.39938193,-7.421921179,-7.416132537,-7.415667665,-6.844292812,-6.876797643,-6.890620455,-6.888662908
alpha,31,-6.450212139,-6.475142576,-6.496384706,-6.488451059,-7.317591883,-7.354431425,-7.346987949,-7.362449255,-6.790930859,-6.818333497,-6.833922341,-6.841342834
alpha,32,-6.409458215,-6.441851826,-6.452812965,-6.452951172,-7.236795129,-7.257519695,-7.245145809,-7.266411702,-6.740368589,-6.767823234,-6.770143569,-6.784187488
alpha,33,-6.350260577,-6.396896658,-6.403618142,-6.40473276,-7.125337551,-7.136741275,-7.149331648,-7.156237893,-6.662255138,-6.695858885,-6.704592695,-6.711507264
alpha,34,-6.305601593,-6.342520754,-6.343666246,-6.327961391,-7.04604116,-7.073237681,-7.082601031,-7.066013228,-6.60792986,-6.642196356,-6.644860999,-6.626793277
alpha,35,-6.238286229,-6.26159904,-6.266227473,-6.27651117,-6.986822183,-7.007304915,-7.028283901,-7.004805986,-6.54544242,-6.569181679,-6.579604702,-6.580723026
alpha,36,-6.181789724,-6.208902984,-6.208752495,-6.238937986,-6.867598693,-6.87336664,-6.898297307,-6.893673756,-6.46636843,-6.486986704,-6.493863403,-6.512840951
alpha,37,-6.102816125,-6.123995739,-6.141356196,-6.142202339,-6.781031764,-6.792913224,-6.807651617,-6.834844329,-6.387165723,-6.406404196,-6.420919731,-6.431179561
alpha,38,-5.998757373,-6.030994952,-6.046113885,-6.051768247,-6.704942161,-6.722571804,-6.742333257,-6.766426301,-6.294229979,-6.322447924,-6.339525913,-6.350497675
alpha,39,-5.916516193,-5.944590731,-5.94375417,-5.947363511,-6.603522798,-6.626319724,-6.64070222,-6.665377488,-6.205557123,-6.231432902,-6.2345786,-6.241717902
alpha,40,-5.845802048,-5.867758653,-5.881871858,-5.894697901,-6.508334171,-6.540256724,-6.544702259,-6.563326811,-6.127694275,-6.153710268,-6.165345188,-6.17692
alpha,41,-5.733695198,-5.757675018,-5.781387427,-5.797599377,-6.406247014,-6.432537363,-6.427617803,-6.432266224,-6.016703686,-6.042523062,-6.05804706,-6.063710699
alpha,42,-5.640054975,-5.667341765,-5.657979626,-5.69294787,-6.29023864,-6.303560098,-6.302707485,-6.325579673,-5.913390647,-5.937809844,-5.932374751,-5.958751433
alpha,43,-5.541584453,-5.574839871,-5.583036791,-5.596822721,-6.178472718,-6.186370629,-6.181993829,-6.21168342,-5.809293742,-5.837266348,-5.843081801,-5.855520329
