"Austria: MCMC-Zerlegung der Bevölkerungssterblichkeit, Daten: Statistik Austria seit 1947, Berechnungen: Dr. Jonas Hirz, Dokumentation: vgl. Dokumentation der Pensionstafel AVÖ 2018-P"
,,,,,,,,,,,,,
,MCMC-Parameter,,Parameter alpha,Parameter beta,"Parameter beta, Lee-Carter",Parameter zeta,Parameter eta,Parameter beta; Vergleich MCMC vs. Lee-Carter,,,,,
,Geschlecht,Mann,Mann,Mann,Mann,Frau,Frau,Frau,Frau,Unisex,Unisex,Unisex,Unisex
,Trend seit ,1970,1980,1990,2000,1970,1980,1990,2000,1970,1980,1990,2000
Parameter,Alter,"Mann, 1970","Mann, 1980","Mann, 1990","Mann, 2000","Frau, 1970","Frau, 1980","Frau, 1990","Frau, 2000","Unisex, 1970","Unisex, 1980","Unisex, 1990","Unisex, 2000"
beta,28,-0.02608468184,-0.03085993593,-0.03339346771,-0.02456410068,-0.02525350956,-0.02708450467,-0.02766120223,-0.0106893349,-0.02579301818,-0.02948955863,-0.03176893434,-0.02447408219
beta,29,-0.0261074237,-0.03079210044,-0.03321363199,-0.02481863838,-0.02527381,-0.02717098588,-0.02759974528,-0.009589322395,-0.02589144976,-0.02954915361,-0.03170838416,-0.02470039895
beta,30,-0.02615648681,-0.03073648346,-0.03308787311,-0.02507629768,-0.02535506169,-0.02729017213,-0.02754617934,-0.008518425513,-0.02605144613,-0.02964884862,-0.03168965642,-0.02491591181
beta,31,-0.02613844764,-0.03064888854,-0.0329696042,-0.02530174396,-0.02545399122,-0.02744149218,-0.02753465468,-0.009147680746,-0.02614518904,-0.02972271718,-0.03167706384,-0.02512829067
beta,32,-0.02624759121,-0.03055286644,-0.03293288019,-0.02555114583,-0.02539617099,-0.02758994901,-0.02751240472,-0.009769759729,-0.02620250396,-0.02975966271,-0.03167548708,-0.02535883498
beta,33,-0.02642198,-0.03047712815,-0.03290227162,-0.02580617322,-0.02539791811,-0.02778600023,-0.02748499134,-0.0104419553,-0.02633706356,-0.0298147283,-0.03164752267,-0.0255875341
beta,34,-0.0263994991,-0.03040493074,-0.03283788142,-0.02604716035,-0.02540680076,-0.02788042969,-0.02744469876,-0.01110850784,-0.0263142696,-0.0298034736,-0.03158680012,-0.02583066235
beta,35,-0.02645206165,-0.0304783262,-0.03287207984,-0.02628091512,-0.02531338205,-0.02797238997,-0.02741886452,-0.01172569186,-0.02629989992,-0.02996270031,-0.03163809522,-0.0260855067
beta,36,-0.02663320546,-0.03057640155,-0.03292315286,-0.02658676883,-0.0252073588,-0.0280544045,-0.02742754503,-0.01232793838,-0.02641151016,-0.03016013301,-0.03178668256,-0.02637481096
beta,37,-0.0268131165,-0.03068590931,-0.03287845595,-0.02690335262,-0.02516089343,-0.02805470151,-0.02747460635,-0.0129332702,-0.02659986581,-0.03032758782,-0.03188270345,-0.02669921632
beta,38,-0.02705285439,-0.03078386507,-0.03293402618,-0.02722285942,-0.02508799094,-0.02795488323,-0.02745148997,-0.01351123866,-0.02683632926,-0.03040277674,-0.03201057859,-0.02703614812
beta,39,-0.02706697803,-0.03076171393,-0.03298625514,-0.02749045808,-0.02491816434,-0.02772240841,-0.02740013571,-0.01404814158,-0.02679136361,-0.03029612917,-0.03211724179,-0.02732304655
beta,40,-0.027130734,-0.0308696011,-0.03304011781,-0.0276914467,-0.02460959491,-0.02735670739,-0.02728571192,-0.01453897502,-0.0267202441,-0.03023076178,-0.03216943172,-0.02753969706
beta,41,-0.02712552163,-0.03086553369,-0.03302838059,-0.02783773635,-0.02410349858,-0.02690246433,-0.02714166804,-0.01496142839,-0.02645936271,-0.03000031926,-0.03212944816,-0.02766893849
beta,42,-0.026951986,-0.03063851251,-0.03296253909,-0.02796770801,-0.02358534307,-0.0265035014,-0.02698155508,-0.01530777625,-0.02602216772,-0.02967240129,-0.03207756869,-0.02775959981
beta,43,-0.02679747856,-0.03046228579,-0.03265601205,-0.02803001793,-0.02307028034,-0.0260470651,-0.0267706347,-0.01559954337,-0.02563659223,-0.02938418854,-0.03179718788,-0.02779677468
beta,44,-0.02634223869,-0.03015723975,-0.0322790543,-0.02805290299,-0.02264546944,-0.02552859601,-0.02645439934,-0.01580267035,-0.02502078981,-0.02899405906,-0.03140768761,-0.02776523886
beta,45,-0.02552782078,-0.02953690273,-0.03176437329,-0.027985838,-0.02230894292,-0.02494717234,-0.0261055011,-0.01597254948,-0.02413787835,-0.02830505038,-0.03088531595,-0.02762674222
beta,46,-0.02485410161,-0.02884429869,-0.03104350851,-0.02787079964,-0.02204764054,-0.02425469433,-0.02557102578,-0.01606126386,-0.02345702966,-0.02749831459,-0.03006955716,-0.0274392143
beta,47,-0.02430986261,-0.0283636113,-0.03038842892,-0.02761656539,-0.0216971123,-0.02340853799,-0.02490854047,-0.01604069372,-0.0228168677,-0.02676080562,-0.02923921299,-0.02710049971
beta,48,-0.02388929957,-0.02791836461,-0.02965836324,-0.02735596727,-0.0211491406,-0.02252878522,-0.02413111796,-0.0158690603,-0.0221062589,-0.02602883656,-0.02828648234,-0.02670099647
beta,49,-0.02343165234,-0.02738966234,-0.02877711353,-0.02707063164,-0.02082962541,-0.02185164041,-0.02323757253,-0.01558233637,-0.02159112031,-0.02539088362,-0.02716123747,-0.02623407473
beta,50,-0.02295670143,-0.02688046571,-0.02794636308,-0.02675714398,-0.02042693761,-0.02125432924,-0.02247688337,-0.01532731332,-0.02101768649,-0.0248485462,-0.02627537777,-0.02581920415
beta,51,-0.02253847265,-0.02635894931,-0.0270493179,-0.02634835758,-0.01998089824,-0.02063070217,-0.02158207888,-0.01498367108,-0.02047365671,-0.02422461398,-0.0252137704,-0.02532568064
beta,52,-0.02211624762,-0.0258656117,-0.02618078423,-0.02580187715,-0.01965769929,-0.02000431431,-0.02075848842,-0.01449888604,-0.02001560117,-0.02355366247,-0.0242540604,-0.02465578465
beta,53,-0.02156770861,-0.0252938009,-0.02521930132,-0.02506806732,-0.01927800948,-0.01953568792,-0.02002547836,-0.01393015832,-0.01937234173,-0.02286730886,-0.02326007696,-0.02380687398
beta,54,-0.0212663515,-0.02485929087,-0.02439657343,-0.02434372507,-0.01900273515,-0.0192017295,-0.01925913139,-0.01324073831,-0.01897395622,-0.02232694009,-0.02234935085,-0.02293125108
beta,55,-0.02101950473,-0.02446558849,-0.02379383806,-0.02344782568,-0.01889396474,-0.01894499255,-0.01856362461,-0.01245515372,-0.01878830009,-0.02180821031,-0.02167873791,-0.02189092825
beta,56,-0.02059625525,-0.02407383825,-0.02319405546,-0.02248074434,-0.01873618415,-0.01866961611,-0.01782489086,-0.01156184481,-0.01835088579,-0.02115774218,-0.02084387393,-0.02077049719
beta,57,-0.02023232094,-0.02361416469,-0.02277778234,-0.02151134718,-0.01867432262,-0.0185833202,-0.01726851769,-0.01058571343,-0.01802534159,-0.02058254486,-0.02028374807,-0.01961756028
beta,58,-0.02000623343,-0.0231527766,-0.02251453971,-0.02051991611,-0.01874184608,-0.01847239964,-0.01674404179,-0.009442907849,-0.0179090965,-0.01997207096,-0.0198452819,-0.01836437925
beta,59,-0.01988384729,-0.02287207349,-0.02227700664,-0.01940332556,-0.01885028279,-0.0184555559,-0.01619977408,-0.008176135271,-0.01783268594,-0.0195795145,-0.01936081279,-0.01695548256
beta,60,-0.01995504414,-0.0228029466,-0.02249661216,-0.01838625493,-0.01906448725,-0.01843220066,-0.01579494011,-0.006889580264,-0.01793607575,-0.01931821099,-0.01926239639,-0.01565605341
beta,61,-0.02006274632,-0.02251799644,-0.02256835056,-0.0174612502,-0.01944585824,-0.01862574906,-0.0157447883,-0.005537677879,-0.01817109189,-0.01905881702,-0.01917099128,-0.01442926659
beta,62,-0.01993378462,-0.02201104439,-0.0225287185,-0.01667842547,-0.0198408476,-0.01901013467,-0.01609367985,-0.004274226319,-0.0182204355,-0.01872540928,-0.01912863763,-0.01340444767
beta,63,-0.02034951151,-0.02183618803,-0.02247377736,-0.01621766263,-0.0202178494,-0.01950561409,-0.01655067771,-0.003013098101,-0.01867403588,-0.01873340352,-0.01898430857,-0.01269526443
beta,64,-0.02086321767,-0.02201333781,-0.02294109332,-0.01607252812,-0.02074372485,-0.0199417684,-0.01712163429,-0.001762209292,-0.01930644182,-0.01896639736,-0.01929142629,-0.01236525443
beta,65,-0.02122412837,-0.02207787292,-0.02335453186,-0.0161732018,-0.02123875376,-0.02024615733,-0.01775933328,-0.0004458735448,-0.01974360192,-0.01892005607,-0.01952252396,-0.01227075803
beta,66,-0.02166103405,-0.02208349869,-0.02365132435,-0.01649023307,-0.02202922174,-0.02099810812,-0.01865602451,-0.002596851444,-0.02042200092,-0.01924607593,-0.01976743841,-0.01255364418
beta,67,-0.02243934129,-0.02267534907,-0.02396170159,-0.0169700236,-0.02255424427,-0.02158287495,-0.01943085265,-0.004627384355,-0.02118985808,-0.01988602253,-0.01984801459,-0.0129949215
beta,68,-0.02273841407,-0.02305042518,-0.02430266927,-0.01759082588,-0.02319630038,-0.02235089774,-0.02050322018,-0.006655574008,-0.02163116547,-0.02044554378,-0.02022832862,-0.01368533327
beta,69,-0.02342179361,-0.02363511805,-0.02491377486,-0.01854693475,-0.02398903051,-0.02308823556,-0.02156288895,-0.008718369994,-0.02247163072,-0.02115092378,-0.02084428389,-0.01469472499
beta,70,-0.02359022008,-0.02407548052,-0.0252319632,-0.01950035439,-0.0245901528,-0.0238528554,-0.02261902668,-0.01090016345,-0.02276992781,-0.02174069554,-0.0212525038,-0.01586208954
beta,71,-0.02419249186,-0.02475771696,-0.02557391701,-0.02057594759,-0.02551864188,-0.02504020795,-0.0237236857,-0.01303994313,-0.02370144351,-0.02285735719,-0.02187623966,-0.01717788256
beta,72,-0.0245945002,-0.02522424685,-0.02570410719,-0.02164246377,-0.02601628823,-0.0261400315,-0.02471224215,-0.01520475314,-0.02419502264,-0.02381792965,-0.02233536021,-0.01854059805
beta,73,-0.0244804709,-0.02526778877,-0.0258791447,-0.02255631449,-0.02635693529,-0.02667061862,-0.02541406937,-0.01713382798,-0.02422563477,-0.02398775612,-0.022650761,-0.01956739872
beta,74,-0.02461449031,-0.02564627411,-0.02618092666,-0.02338259615,-0.02656515741,-0.02724684495,-0.02613280388,-0.01904547918,-0.024473372,-0.02464589904,-0.02326321666,-0.02059006245
beta,75,-0.02454684077,-0.02585924301,-0.02643591512,-0.02404112163,-0.02672072544,-0.0277468426,-0.02666050943,-0.02073550279,-0.02457773819,-0.02520620987,-0.02385422808,-0.02141843647
beta,76,-0.02403521261,-0.02571593424,-0.02624012891,-0.02450045481,-0.02671986465,-0.02784110162,-0.02678748129,-0.02196339562,-0.02436509885,-0.02525548962,-0.02388524626,-0.02186693498
beta,77,-0.02362976158,-0.02558725432,-0.0258497477,-0.02462619825,-0.02629925969,-0.02781063093,-0.02678045154,-0.02290169836,-0.02398116358,-0.02530190726,-0.02378522343,-0.02204774811
beta,78,-0.02297672015,-0.02531057614,-0.02555363303,-0.02453874408,-0.02625504744,-0.02791404491,-0.02669843656,-0.02338760978,-0.02379218726,-0.02542996952,-0.02390912211,-0.02193810897
beta,79,-0.02273659212,-0.02513248952,-0.02521052886,-0.02422114054,-0.02582257663,-0.02750188316,-0.02616122653,-0.02346702413,-0.02367307254,-0.02535565446,-0.02368220186,-0.02155265925
beta,80,-0.02196849078,-0.02441063897,-0.02430169932,-0.02363081843,-0.02495928598,-0.02672303206,-0.0258590056,-0.02352286883,-0.02289234065,-0.02463283095,-0.02329149871,-0.02119477184
beta,81,-0.02101622262,-0.0236541593,-0.02331650408,-0.02286050936,-0.02406971979,-0.02586120757,-0.02513161464,-0.02322151605,-0.02208589073,-0.02395945817,-0.02260906816,-0.02058131492
beta,82,-0.02013564945,-0.02254461527,-0.02254207476,-0.02216904861,-0.02285896343,-0.02462286087,-0.0240363089,-0.02270433236,-0.02109287898,-0.02274326774,-0.02183081144,-0.02002957004
beta,83,-0.01923800656,-0.02184696536,-0.02179006175,-0.02126413825,-0.02201612505,-0.0237300881,-0.02299556057,-0.02217272421,-0.02038045921,-0.02215607496,-0.02115712222,-0.01945219514
beta,84,-0.01850433429,-0.02099226389,-0.02100632159,-0.02037814365,-0.02103948653,-0.02252783574,-0.02201516457,-0.02162394526,-0.01969115179,-0.02125897561,-0.02055898217,-0.01898337906
beta,85,-0.01732743505,-0.01969710975,-0.01982503184,-0.01945473431,-0.01968146686,-0.02111574736,-0.02081853109,-0.02090583465,-0.01842001293,-0.01990554049,-0.01944621625,-0.01838655055
beta,86,-0.01647236234,-0.01853523467,-0.01879366341,-0.01862571137,-0.01874127854,-0.02017231247,-0.01980713727,-0.01996593109,-0.01768415388,-0.0190296615,-0.01860144553,-0.01766814966
beta,87,-0.015416318,-0.01738895543,-0.01799971264,-0.01800975433,-0.01758260671,-0.01891907597,-0.01861416332,-0.01888049846,-0.01660368885,-0.01791354953,-0.01768632875,-0.01696526012
beta,88,-0.01463741052,-0.01620568487,-0.01716439061,-0.0174215868,-0.01655722904,-0.01781195882,-0.01769391267,-0.01788832732,-0.01583116985,-0.01692417333,-0.01697753163,-0.01631964074
beta,89,-0.01382088826,-0.01532330642,-0.01645954202,-0.01704888035,-0.01518623976,-0.01618608288,-0.01645245635,-0.01712382132,-0.01467333089,-0.01562226248,-0.01601232286,-0.01595852575
beta,90,-0.01311551297,-0.01432439135,-0.01577416954,-0.01676465783,-0.0140304939,-0.01489231084,-0.01530433069,-0.01643920191,-0.013722637,-0.01448558207,-0.01508620823,-0.01562917453
beta,91,-0.01237609026,-0.0133242828,-0.01510711793,-0.01662211486,-0.0133365614,-0.01375918228,-0.01411435206,-0.01584191667,-0.013111933,-0.01341137864,-0.01400964519,-0.01537091595
beta,92,-0.01151750761,-0.01251072349,-0.01447321961,-0.01652579751,-0.01233432129,-0.01285634607,-0.01322217875,-0.01531127996,-0.01216972899,-0.01258735754,-0.01322334846,-0.01509194117
beta,93,-0.01040938691,-0.01158720128,-0.0138068153,-0.01628283684,-0.01142917434,-0.01204196818,-0.01245940595,-0.01512989949,-0.01109503555,-0.0116487254,-0.01240057874,-0.01494199376
beta,94,-0.01006366555,-0.01128403154,-0.01330478132,-0.01615032629,-0.01086540397,-0.0116462251,-0.01192866528,-0.01507019213,-0.01077539844,-0.01149789612,-0.01187844466,-0.0149617866
beta,95,-0.009338160155,-0.01068562378,-0.01276993746,-0.01588387028,-0.01005916942,-0.01096105216,-0.01150400798,-0.01501111448,-0.009883871775,-0.01076451643,-0.01136142912,-0.01480523248
beta,96,-0.00893986595,-0.01028551167,-0.01238745235,-0.0157252678,-0.009205287655,-0.009981120564,-0.01081207953,-0.01480859507,-0.009102511389,-0.009794818496,-0.01059270225,-0.01452974489
beta,97,-0.008711288233,-0.009949854208,-0.01208806782,-0.01555496718,-0.008386531809,-0.009388209934,-0.01033605658,-0.01467793051,-0.008354453534,-0.009139734107,-0.009998609619,-0.01426942925
beta,98,-0.008320613722,-0.009636466355,-0.01186737878,-0.01543458111,-0.007858575803,-0.009176816082,-0.01026658021,-0.01466969804,-0.007607256974,-0.008751232123,-0.009758725759,-0.0141712703
zeta,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,2,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,3,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,4,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,5,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,6,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,7,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,8,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,10,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,11,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,12,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,13,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,14,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,15,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,16,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,17,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,18,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,19,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,20,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,21,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,22,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,23,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,24,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,25,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,26,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,27,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,28,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,29,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,30,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,31,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,32,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,33,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,34,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,35,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,36,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,37,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,38,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,39,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,40,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,41,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,42,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,43,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,44,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,45,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,46,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,47,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,48,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,49,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,50,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,51,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,52,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,53,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,54,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,55,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,56,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,57,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,58,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,59,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,60,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,61,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,62,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,63,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,64,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,65,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,66,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,67,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,68,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,69,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,70,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,71,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,72,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,73,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,74,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,75,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,76,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,77,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,78,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,79,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,80,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,81,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,82,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,83,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,84,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,85,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,86,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,87,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,88,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,89,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,90,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,91,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,92,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,93,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,94,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,95,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,96,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,97,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
zeta,98,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
eta,0,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,1,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,2,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,3,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,4,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,5,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,6,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,7,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,8,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,9,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,10,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,11,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,12,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,13,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,14,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,15,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,16,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,17,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,18,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,19,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,20,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,21,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,22,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,23,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,24,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,25,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,26,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,27,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,28,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,29,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,30,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,31,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,32,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,33,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,34,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,35,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,36,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,37,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,38,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,39,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,40,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
eta,41,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
