"","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1",0.086051,0.085061,0.083553,0.073842,0.069378,0.058235,0.056372,0.054573,0.052021,0.048907,0.04966,0.04463,0.043468,0.041994,0.036997,0.036467,0.034774,0.033131,0.030916,0.032058,0.030375,0.028509,0.029326,0.029268,0.029948,0.028215,0.02726,0.027114,0.023336,0.020172,0.018668,0.017166,0.016031,0.01632,0.014609,0.015083,0.013549,0.012675,0.013118,0.011856,0.010726,0.008731,0.00912,0.008499,0.008374,0.008534,0.007341,0.006876,0.005923,0.005334,0.004727,0.005346,0.004401,0.005382,0.00595901235847346,0.00471110224836732,0.00485559658085074,0.00466206216082881,0.00438838457294749,0.00410114479808781,0.00405752439650745,0.00436126202462244,0.00404381654381654,0.00433909399717339,0.00435697487312786,0.00316006075155553,0.0035162259175152,0.0030833451923533,0.00330244931657646,0.00337395396328605,0.00300532561377146,0.00301397387889305,0.003327214,0.00321423580379187,0.00269005583561272,0.00244320717927033
"2",0.008201,0.006842,0.006456,0.005355,0.0047,0.003934,0.003646,0.003252,0.003152,0.002927,0.003173,0.00288,0.003027,0.002864,0.002501,0.001834,0.002533,0.002312,0.002304,0.001908,0.002069,0.001931,0.001973,0.001621,0.001786,0.001626,0.001594,0.001565,0.00153,0.001521,0.001297,0.001261,0.001328,0.001063,0.00110054587075189,0.00109887787662983,0.00126103404791929,0.000727661851257357,0.000701677447648284,0.000907129819127164,0.000736631806868534,0.000786137034915715,0.000774721930164352,0.000587780692492734,0.000642095800693464,0.000496966434058766,0.000651200651200651,0.00065560335996722,0.000564163105822372,0.000517933445552247,0.00054974656683269,0.000382973450928711,0.000632740822328721,0.000315315861600592,0.000296055066242321,0.000447576095706688,0.000548717373140285,0.00019616377222934,0.000318538642719095,0.000535125191930555,0.000296101636886861,0.000350249552806375,0.000272988416605141,0.000349482329299725,0.000297419882519146,0.000291322238811405,0.000363934127922846,0.000215916008672626,0.000211648299317728,0.000294634256898408,0.00028946943592427,0.000152304282198077,0.000310118,0.000204922698604249,0.000206384741288127,0.000181499526399673
"3",0.004932,0.003532,0.003527,0.002846,0.00262,0.002545,0.00202,0.00224,0.001977,0.001503,0.001984,0.001711,0.001821,0.001493,0.001403,0.001068,0.001538,0.001223,0.001316,0.001235,0.000961,0.001199,0.001132,0.00101,0.00076,0.000976,0.000901,0.001051,0.001057,0.000832,0.000888,0.001036,0.000667,0.00056,0.000808510146802342,0.000617651600379415,0.000381533765738268,0.000650884468006929,0.000789510183614463,0.000502298561897378,0.00046236665675881,0.000443645881857102,0.000556031271198692,0.000501893009503235,0.000513753612330087,0.000273987038305496,0.000143497022436784,0.000364785992217899,0.000347459965458392,0.000354524884518732,0.000409831645474057,0.00041733018505299,0.000291934741357047,0.000280288697358279,0.000265626697897927,0.000171045116203776,0.000197531473862574,0.000222152970833166,0.000242915225622698,0.000194931180156006,9.68813294540434e-05,0.000172063097996079,0.000273832787742249,0.000197858185145797,0.000223708780880356,9.84806285526117e-05,0.00021684918139434,0.000192369541889971,0.000213419333420282,0.00020762502919727,0.00024739253886593,0.000199576454413412,0.000216749,0.000242637469291195,0.000226872477816126,0.000226150967078073
"4",0.003341,0.002767,0.002601,0.001965,0.001946,0.001282,0.001308,0.001216,0.00131,0.00152,0.001227,0.001365,0.001254,0.001279,0.001047,0.001137,0.000988,0.001052,0.001055,0.000696,0.000917,0.000747,0.000795,0.000817,0.00077,0.000708,0.000921,0.000917,0.000621,0.000659,0.000436,0.000571,0.000552,0.000529,0.000512163892445583,0.000416444948291419,0.000287887679514577,0.00052981255231899,0.000565913163768982,0.000383109143538226,0.00023928388858072,0.000284766108452077,0.000351895838831706,0.000416991298050017,0.000364889084450359,0.000357973867907643,0.000271090304350999,0.00030598818885591,0.000242355697378519,0.00024469321588059,0.00016675004168751,0.000172372928831527,0.000306506699360715,0.000223838836038053,0.000209470389033061,0.000216133138013016,0.000291215308218035,0.000122256861666361,0.000195827647192015,0.000120719366706202,0.000194336311132434,0.000193105529154409,0.0001714604140769,0.000198699141557615,0.000123311784598975,0.00012357960689327,9.78039946819078e-05,0.000143313528199922,7.13063320022818e-05,0.000186274481269228,0.00011446755417177,0.000111995878551669,0.00017686,8.64234207470224e-05,0.000153869403343912,4.47128457211204e-05
"5",0.00271,0.002054,0.002109,0.001836,0.001767,0.00118,0.000877,0.001234,0.00177,0.00107,0.001098,0.000927,0.001348,0.001145,0.000982,0.000825,0.000837,0.000746,0.000801,0.000749,0.000559,0.000676,0.000701,0.000856,0.000688,0.000626,0.000641,0.000493,0.000522,0.000414,0.000537,0.000498,0.000382,0.000596,0.000458452722063037,0.000419199329281073,0.000162478964776882,0.00044323294107218,0.000359967391189269,0.000271957992950012,0.000254668930390492,0.000173362805010185,0.000326409818407338,0.000369649593929049,0.00019454201567144,0.00033837369144549,0.000229489386115892,0.000270143903579407,0.000325381815223802,0.000201369311316955,0.000265032976218387,0.000166666666666667,0.000279356620214675,8.73267110577448e-05,0.000200774095680011,0.000116202727278009,0.000143088810455022,0.00019239556528222,7.27021574365219e-05,0.000170286781184527,0.000168320313556698,0.000145247677550156,7.22043382773249e-05,7.33086323969174e-05,0.00027221658541414,0.000147177413172992,0.000122848613653395,9.70755976216479e-05,0.000141721682236368,0,0.000185044367278373,6.8373146446733e-05,6.69779e-05,0.000154328217536646,6.46097436877626e-05,0.000108255276768147
"6",0.001983,0.001669,0.001696,0.001048,0.000998,0.001009,0.001025,0.000972,0.001062,0.000839,0.00093,0.000876,0.000807,0.000686,0.000555,0.000843,0.000808,0.000804,0.00047,0.00091,0.000793,0.000559,0.000706,0.000715,0.000683,0.000452,0.000671,4e-04,0.000477,0.000378,0.000338,0.000557,0.000457,0.00053,0.000154179927975948,0.000321299887545039,0.000397071017319303,0.000533958606600193,0.000266016404344935,0.00027486758782548,0.000417336143396699,0.000254065040650407,0.000366707292082358,0.000323488499983826,0.000364701213167859,0.00012793995351515,0.000168046044616225,0.000249698281243497,0.000228028897480281,0.000142188277592143,0.00014091453533432,0.000142614116760215,0.000145510481951503,6.43452336268191e-05,0.000108793803104975,0.000219966345149192,6.92388914853473e-05,0.000141919880314234,0.000167034042134337,0.000144571345959231,0.000121422218444642,7.19172232760093e-05,0.000144888164448067,2.40388226986583e-05,9.75707921833599e-05,7.40181035945041e-05,7.32245338800765e-05,7.32296726633632e-05,0.00012015872968191,9.27592694048044e-05,9.26757218569898e-05,6.9126813138703e-05,0.000113607,4.4541941805953e-05,0.000110013119064448,4.24583377560768e-05
"7",0.001448,0.001368,0.001603,0.001464,0.00105,0.000909,0.00088,0.000886,0.000788,0.000869,0.000923,0.000663,0.000449,0.000627,0.000667,5e-04,0.00065,0.000671,0.000787,0.000762,0.000674,0.000702,0.000696,0.000675,5e-04,0.000448,0.000638,0.000609,0.000708,0.000376,0.000469,0.000264,0.00044,0.000438,0.00033891124761703,0.000286706732094613,0.000391457026077946,0.000280327983740977,0.000301599638080434,8.86210563629919e-05,0.000253314194038673,0.000229116547421918,0.00025333023707488,0.000257234726688103,0.000277377713767536,6.36449460609082e-05,0.000254242674632937,0.000188831656578161,0.000124797204542618,0.000165597184847858,0.00016245304091786,0.000161014390661165,0.00010167458033817,0.000145238762150779,8.55944534794145e-05,0.000152013225150588,0.000218676623742268,9.16233364637973e-05,0.00018785295809705,7.12671597958196e-05,9.6242917122818e-05,9.69453137544193e-05,9.57201143855367e-05,0,4.80112826514231e-05,9.72798132227586e-05,7.3787577861267e-05,9.70455689599747e-05,7.25204794812368e-05,2.36271168419996e-05,9.22368295895749e-05,4.6199112399553e-05,0.000114994,6.80573042501787e-05,2.22219135845335e-05,0.000151855758722893
"8",0.001654,0.001177,0.001125,0.000723,0.000843,0.001092,0.000821,0.000769,0.000746,0.000547,0.000912,0.000761,0.000955,0.000615,0.000648,0.000372,0.000555,0.000492,0.000499,0.000637,0.000568,0.000658,0.000717,0.000574,0.000614,0.000423,0.00054,0.00053,0.000533,0.000452,0.000377,0.000253,0.000378,0.000401,0.000291478420186963,0.000296754774572355,0.000243327840023006,0.000368621126598318,0.000209988450635215,0.000324269236114328,0.00013282858471143,0.000273975489731188,0.000332439901099129,0.000273451057519378,0.000212729748127978,0.000126860622462788,0.000189791334971162,0.000190558866809939,0.000168017809887848,0.000166375509524998,0.000165597184847858,0.000101495021669187,6.026214031035e-05,0.000223338916806254,0.000103570059967065,4.27245441825193e-05,0.000129644584772703,0.000108600036924013,0.000136533915878041,0.000140159080556432,4.73682496543598e-05,7.20158434855668e-05,7.25851817351488e-05,7.17257208434945e-05,9.63898971339067e-05,7.17778475617962e-05,9.69235848399398e-05,7.34349183036534e-05,7.20476234791197e-05,9.50906481319145e-05,2.34747983368105e-05,4.59727841118058e-05,6.91356e-05,4.59034077542332e-05,4.52643579958074e-05,8.761290428564e-05
"9",0.001486,0.001216,0.001004,0.000747,0.000815,0.000678,0.00063,0.000644,0.000808,0.000589,0.000888,0.000676,0.00066,0.000708,0.000492,0.000525,0.000449,0.00037,0.000545,0.000378,0.000686,0.000487,0.000611,0.000671,0.000543,0.000717,0.000483,0.000417,0.000281,0.000424,0.00029,0.000257,0.000361,0.000452,0.000419182593941813,0.000436958353707384,0.000276158004864629,0.000199174532216481,0.000138153350218743,0.000302737445128838,0.000184971098265896,0.000198967579338322,0.000314825114648813,8.27181173356494e-05,0.000146200357146587,0.000210411143374153,0.000231012359161215,0.000189651357587635,0.000105951283599801,0.000125928724342022,0.000103860494583675,8.26890478356142e-05,0.000121484541092146,0.000120259761083941,8.10241451952682e-05,0.000123631043755087,0.000106304381335077,0.000171699150894043,0.000129424358203482,0.000113219189520432,0.000163022910541178,2.35947831934359e-05,9.57447445111333e-05,0.000144952920499363,0.000119298999081398,4.80556965523041e-05,9.53056033738184e-05,9.63925103019495e-05,9.68901296208265e-05,4.71390986415101e-05,9.43727309993777e-05,9.34172921246303e-05,4.57886e-05,0.000114838580020958,4.57344088541816e-05,4.45055159023771e-05
"10",0.001032,0.00094,0.000712,0.000682,0.000865,0.000525,0.000495,0.000925,0.000511,0.000565,0.000644,0.000493,0.000518,0.000743,0.000416,0.000409,0.000402,0.000642,0.000535,0.000475,0.000446,0.000653,0.000422,0.000626,0.000456,0.000587,0.000447,0.000362,0.000433,0.000328,0.000408,0.000403,0.000239,0.00027,0.00026254594554047,0.000139468624540501,0.000166659722511562,0.00021238637329029,0.000132661183337755,0.0003217946949846,0.000209163693830833,0.000230621987500288,0.000264078695451244,8.33976189979776e-05,0.000122963418383031,0.000227120218861302,0.000187826740266923,0.000125609730567128,0.000168417506999853,0.00010588173010747,0.000104761405898067,0.000165840917100272,0.000144251079307183,0.000181702552920869,0.00011990168062189,0.00012049614286826,6.15261563072001e-05,0.000126696880353273,0.000127876556497461,8.58122802736339e-05,9.02043692741367e-05,6.95970908416028e-05,0.00011760036456113,7.16255416681588e-05,4.81697018596516e-05,0.000142626648006347,9.56714641919648e-05,9.47679222429198e-05,7.15403532304941e-05,0.000118995912490406,4.67625689017226e-05,0.000164070831721923,0.000116244,0.000114003961637667,2.28785833581185e-05,4.49454614915713e-05
